,Original Image,Gabor1,Gabor2,Gabor3,Gabor4,Gabor5,Gabor6,Gabor7,Gabor8,Gabor9,Gabor10,Gabor11,Gabor12,Gabor13,Gabor14,Gabor15,Gabor16,Gabor17,Gabor18,Gabor19,Gabor20,Gabor21,Gabor22,Gabor23,Gabor24,Gabor25,Gabor26,Gabor27,Gabor28,Gabor29,Gabor30,Gabor31,Gabor32
2595,137,0,0,255,255,231,128,94,52,0,0,255,255,0,0,0,0,0,0,255,255,80,1,255,51,0,0,255,255,64,34,104,61
2596,138,0,0,255,255,233,129,94,52,0,0,255,255,0,0,0,0,0,0,255,255,80,1,255,52,0,0,255,255,63,33,102,59
2597,154,0,0,255,255,234,130,95,53,0,0,255,255,0,0,0,0,0,0,255,255,81,1,255,54,0,0,255,255,63,33,125,77
2598,147,0,0,255,255,233,130,94,53,0,0,255,255,0,0,0,0,0,0,255,255,81,1,255,54,0,0,255,255,61,32,117,71
2599,139,0,0,255,255,231,129,94,52,0,0,255,255,0,0,0,0,0,0,255,255,82,1,255,52,0,0,255,255,68,36,99,57
2600,138,0,0,255,255,230,127,93,51,0,0,255,255,0,0,0,0,0,0,255,255,77,1,255,51,0,0,255,255,58,30,115,70
2601,139,0,0,255,255,229,124,93,50,0,0,255,255,0,0,0,0,0,0,255,255,86,1,255,50,0,0,255,255,68,36,125,76
2602,130,0,0,255,255,227,123,92,50,0,0,255,255,0,0,0,0,0,0,255,255,90,1,255,49,0,0,255,255,70,37,119,70
2603,133,0,0,255,255,226,122,91,49,0,0,255,255,0,0,0,0,0,0,255,255,83,1,255,48,0,0,255,255,65,34,120,72
2604,132,0,0,255,255,227,123,92,50,0,0,255,255,0,0,0,0,0,0,255,255,85,1,255,48,0,0,255,255,66,35,120,72
2605,132,0,0,255,255,229,124,93,50,0,0,255,255,0,0,0,0,0,0,255,255,88,1,255,49,0,0,255,255,69,36,118,70
2606,142,0,0,255,255,232,127,94,51,0,0,255,255,0,0,0,0,0,0,255,255,87,1,255,51,0,0,255,255,69,36,124,75
2607,141,0,0,255,255,236,129,96,52,0,0,255,255,0,0,0,0,0,0,255,255,85,1,255,52,0,0,255,255,64,33,123,74
2608,145,0,0,255,255,240,132,97,54,0,0,255,255,0,0,0,0,0,0,255,255,87,1,255,53,0,0,255,255,70,37,113,66
2609,148,0,0,255,255,245,135,99,55,0,0,255,255,0,0,0,0,0,0,255,255,85,1,255,55,0,0,255,255,65,34,121,73
2610,157,0,0,255,255,249,138,101,56,0,0,255,255,0,0,0,0,0,0,255,255,87,1,255,56,0,0,255,255,69,36,126,76
2611,153,0,0,255,255,247,139,100,56,0,0,255,255,0,0,0,0,0,0,255,255,79,1,255,57,0,0,255,255,60,31,110,65
2612,155,0,0,255,255,249,139,101,56,0,0,255,255,0,0,0,0,0,0,255,255,91,1,255,57,0,0,255,255,75,40,113,65
2613,157,0,0,255,255,250,138,101,56,0,0,255,255,0,0,0,0,0,0,255,255,89,1,255,57,0,0,255,255,66,34,140,86
2614,152,0,0,255,255,250,136,101,55,0,0,255,255,0,0,0,0,0,0,255,255,90,1,255,54,0,0,255,255,71,38,129,78
2615,134,0,0,255,255,246,135,100,54,0,0,255,255,0,0,0,0,0,0,255,255,86,1,255,52,0,0,255,255,67,35,105,59
2616,148,0,0,255,255,243,133,98,54,0,0,255,255,0,0,0,0,0,0,255,255,87,1,255,53,0,0,255,255,69,36,121,72
2617,154,0,0,255,255,240,132,97,54,0,0,255,255,0,0,0,0,0,0,255,255,89,1,255,55,0,0,255,255,67,35,140,86
2618,146,0,0,255,255,237,131,96,53,0,0,255,255,0,0,0,0,0,0,255,255,91,1,255,54,0,0,255,255,73,39,120,71
2619,138,0,0,255,255,234,129,95,52,0,0,255,255,0,0,0,0,0,0,255,255,77,1,255,51,0,0,255,255,60,32,104,61
2620,136,0,0,255,255,233,127,94,51,0,0,255,255,0,0,0,0,0,0,255,255,82,1,255,50,0,0,255,255,64,34,114,67
2621,139,0,0,255,255,230,125,93,51,0,0,255,255,0,0,0,0,0,0,255,255,88,1,255,51,0,0,255,255,69,36,125,76
2622,139,0,0,255,255,227,124,92,50,0,0,255,255,0,0,0,0,0,0,255,255,85,1,255,50,0,0,255,255,67,35,123,74
2623,133,0,0,255,255,224,123,91,50,0,0,255,255,0,0,0,0,0,0,255,255,81,1,255,49,0,0,255,255,64,34,111,66
2624,131,0,0,255,255,223,122,90,49,0,0,255,255,0,0,0,0,0,0,255,255,80,1,255,48,0,0,255,255,63,33,108,64
2625,134,0,0,255,255,223,122,90,49,0,0,255,255,0,0,0,0,0,0,255,255,81,1,255,49,0,0,255,255,63,33,116,70
2626,135,0,0,255,255,221,121,90,49,0,0,255,255,0,0,0,0,0,0,255,255,82,1,255,49,0,0,255,255,65,34,117,70
2627,133,0,0,255,255,220,121,89,49,0,0,255,255,0,0,0,0,0,0,255,255,80,1,255,49,0,0,255,255,63,33,111,66
2628,132,0,0,255,255,220,121,89,49,0,0,255,255,0,0,0,0,0,0,255,255,78,1,255,48,0,0,255,255,61,32,108,64
2629,132,0,0,255,255,220,121,89,49,0,0,255,255,0,0,0,0,0,0,255,255,80,1,255,48,0,0,255,255,63,33,111,66
2630,133,0,0,255,255,221,121,90,49,0,0,255,255,0,0,0,0,0,0,255,255,83,1,255,49,0,0,255,255,65,34,117,70
2631,133,0,0,255,255,221,121,90,49,0,0,255,255,0,0,0,0,0,0,255,255,80,1,255,48,0,0,255,255,62,32,114,69
2632,131,0,0,255,255,221,121,89,49,0,0,255,255,0,0,0,0,0,0,255,255,78,1,255,48,0,0,255,255,61,32,105,62
2633,133,0,0,255,255,219,121,89,49,0,0,255,255,0,0,0,0,0,0,255,255,75,1,255,49,0,0,255,255,59,31,103,61
2634,138,0,0,255,255,217,121,88,49,0,0,255,255,0,0,0,0,0,0,255,255,76,1,255,50,0,0,255,255,60,32,109,65
